# mart export 2024-02-12
# ensemble genes 11
# zfname hsname
atp6v0a2a	ATP6V0A2
atp6v0a2b	ATP6V0A2
atp6v0cb	ATP6V0C
atp6v0ca	ATP6V0C
atp6v1ab	ATP6V1A
atp6v1aa	ATP6V1A
atp6v1b2	ATP6V1B2
atp6v1ba	ATP6V1B2
atp8b1	ATP8B1
auh	AUH
	AURKC
avil	AVIL
avp	AVP
oxt	AVP
bach2b	BACH2
bag3	BAG3
bag5	BAG5
banf1	BANF1
bbs2	BBS2
bcas3	BCAS3
bckdk	BCKDK
	BCL10
bcl11ba	BCL11B
bcs1l	BCS1L
best1	BEST1
BFSP1	BFSP1
bicc1b	BICC1
bicc1a	BICC1
blnk	BLNK
bmp1b	BMP1
bmp1a	BMP1
bmp15	BMP15
bmp4	BMP4
bmpr1aa	BMPR1A
bmpr1ab	BMPR1A
bmpr1ba	BMPR1B
bmpr1bb	BMPR1B
bmpr2b	BMPR2
bmpr2a	BMPR2
BNC1	BNC1
braf	BRAF
brca2	BRCA2
	BRDT
brf1b	BRF1
bscl2	BSCL2
bscl2l	BSCL2
btd	BTD
bub1bb	BUB1B
ca12	CA12
ca2	CA2
cahz	CA2
ca4a	CA4
ca4b	CA4
cacna1aa	CACNA1A
cacna1ab	CACNA1A
cacna1bb	CACNA1B
cacna1ba	CACNA1B
	CACNA1C
cacna1c	CACNA1C
cacna1ea	CACNA1E
cacna1eb	CACNA1E
cacna1sa	CACNA1S
cacna1sb	CACNA1S
CACNA2D1	CACNA2D1
cacna2d1a	CACNA2D1
cad	CAD
	CALM1
	CALM2
cant1b	CANT1
cant1a	CANT1
CAPN1	CAPN1
CAPN1	CAPN1
card11	CARD11
	CARD8
	CARMIL2
cars2	CARS2
casp10	CASP10
	CASP8
cast	CAST
catip	CATIP
	CATSPER1
cav3	CAV3
cbx2	CBX2
ccdc115	CCDC115
	CD247
hdr	CD27
tnfrsfa	CD27
cd40	CD27
nradd	CD27
tnfrsf1b	CD27
tnfrsf11a	CD27
cd2ap	CD2AP
	CD3D
	CD3E
	CD3G
cd79a	CD79A
cd79b	CD79B
si:ch1073-15f19.2	CD96
	CDAN1
cdc40	CDC40
cdc45	CDC45
cdc6	CDC6
cdh2	CDH2
cdh30	CDH3
cdh28	CDH3
cdh31	CDH3
